sample_name	run	year_uid	uid	curid	year	date	col_area	valley_position	sex	age	ageclass	massjun	massaug	mgr	*organism	*collection_date	*env_broad_scale	*env_local_scale	*env_medium	*geo_loc_name	*host	*lat_lon	strain	*isol_growth_condt
7-Mar	1	2016_7753_7754	7753_7754	7753_7754	2016	3-Jun-16	picnic_lower	UV	F	1	Y	838.0347924	2544.644166	22.45538649	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
8-Mar	1	2016_6127_7339	6127_7339	6127_7339	2016	15-Jun-16	picnic_lower	UV	F	4	A	2756.186447	4086.688931	17.50661163	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Mar-	1	BLANK													marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
9-Mar	1	2016_7780_7781	7780_7781	7780_7781	2016	13-Jul-16	picnic_lower	UV	F	1	Y	1028.700682	2840.356157	23.83757204	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0001	2	2019_7310_7303	7310_7303	7851_7303	2019	5-Jun-19	gothictown	DV	F	5	A	2286.49618	3354.593366	14.05391034	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0002	2	2019_7269_7497	7269_7497	7269_7497	2019	9-Jun-19	gothictown	DV	F	2	A	2447.899981	3835.251334	18.25462307	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0003	2	2019_8342_8329	8342_8329	8284_8386	2019	12-Jun-19	bench	DV	F	2	A	2058.520443	2915.147094	11.2714033	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0004	2	2019_8476_8478	8476_8478	8476_8478	2019	17-Jun-19	mm_aspen	UV	F	2	A	1769.292304	3070.687663	17.12362314	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0005	2	2019_8246_8319	8246_8319	8246_8319	2019	18-Jun-19	picnic_lower	UV	F	2	A	1782.365598	3078.028989	17.04820251	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0006	2	2019_7187_7189	7187_7189	7775_6669	2019	19-Jun-19	gothictown	DV	F	7	A	3021.807948	4469.857563	19.05328441	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
